title,summary,sector,stage,targetAmount,currency,problem_statement,problem_targetMarket,problem_marketSize,solution_description,solution_uniqueValue,solution_competitiveAdvantage,businessModel_revenueStreams,businessModel_pricingStrategy,businessModel_customerAcquisition,financials_currentRevenue,financials_projectedRevenue,financials_burnRate,financials_runway,status
LatticeBridge,LatticeBridge develops operational software for grain cooperatives managing crop procurement tracking. The company is raising capital to expand enterprise integrations and scale regional sales operations.,saas,series-a,3478942,SGD,"grain cooperatives continue to manage crop procurement tracking through spreadsheets and email coordination, increasing operating losses and compliance exposure.",grain cooperatives,$51.5B estimated annual addressable spend across 10 national markets,"LatticeBridge provides a cloud platform that centralizes crop procurement tracking, connects external data feeds, and automates exception handling through configurable workflows.",The platform incorporates sector-specific compliance workflows rarely supported by horizontal software vendors.,Multi-year integration relationships with incumbent vendors create switching barriers for competing entrants.,Annual platform subscriptions; implementation services; support retainers,Monthly subscription structure combined with one-time deployment charges.,Targeted account-based marketing; implementation partners; compliance webinars,1127683,5638415,152748,22 months,approved
ApexMetrics,ApexMetrics is preparing a commercial platform connected to maintenance dispatch within the agritech sector and is seeking funding to complete product development and marketing activities.,agritech,pre-seed,4371220,SGD,"The current environment around maintenance dispatch appears difficult for some operators, though quantitative benchmarks are limited.",solar installers,Management estimates the market opportunity to be substantial across multiple regions,ApexMetrics plans to introduce a platform related to maintenance dispatch with a combination of automation features and reporting tools for commercial users.,The platform incorporates sector-specific compliance workflows rarely supported by horizontal software vendors.,Management believes the market remains open to new entrants without significant barriers.,Usage-based billing; premium analytics modules; integration retainers,Enterprise licensing agreements negotiated on multi-year procurement cycles.,Pilot deployments with anchor customers; sector trade events; executive referrals,11182,76662485,539506,4 months,rejected
DeltaLabs,DeltaLabs develops operational software for warehouse operators managing fleet scheduling. The company is raising capital to expand enterprise integrations and scale regional sales operations.,logistics,idea,637168,SGD,"Companies handling fleet scheduling lack integrated visibility across suppliers, regulators, and internal systems, creating avoidable operational costs.",warehouse operators,$63.1B estimated annual addressable spend across 9 national markets,"DeltaLabs provides a cloud platform that centralizes fleet scheduling, connects external data feeds, and automates exception handling through configurable workflows.",Deployment architecture supports intermittent connectivity environments common across secondary markets.,Multi-year integration relationships with incumbent vendors create switching barriers for competing entrants.,Subscription contracts; onboarding fees; API access charges,Tiered annual contracts priced according to active accounts and processing volume.,Industry association partnerships; outbound enterprise sales; regional conferences,554107,2216428,249086,23 months,approved
SummitAnalytics,SummitAnalytics develops operational software for vocational training providers managing credential verification. The company is raising capital to expand enterprise integrations and scale regional sales operations.,agritech,series-a,7973324,SGD,"vocational training providers continue to manage credential verification through spreadsheets and email coordination, increasing operating losses and compliance exposure.",vocational training providers,$22.9B estimated annual addressable spend across 14 national markets,"SummitAnalytics provides a cloud platform that centralizes credential verification, connects external data feeds, and automates exception handling through configurable workflows.",Deployment architecture supports intermittent connectivity environments common across secondary markets.,Existing distribution agreements with sector operators provide direct access to procurement teams across three countries.,Transaction commissions; enterprise licensing; compliance reporting services,Tiered annual contracts priced according to active accounts and processing volume.,Direct procurement outreach; channel reseller agreements; referral incentives,1011956,3035868,324625,17 months,approved
LatticeFlow,LatticeFlow develops operational software for property managers managing tenant documentation. The company is raising capital to expand enterprise integrations and scale regional sales operations.,saas,seed,2878745,USD,"Companies handling tenant documentation lack integrated visibility across suppliers, regulators, and internal systems, creating avoidable operational costs.",property managers,$49.5B estimated annual addressable spend across 12 national markets,"LatticeFlow provides a cloud platform that centralizes tenant documentation, connects external data feeds, and automates exception handling through configurable workflows.",Native integrations with regional financial and regulatory systems reduce migration friction for enterprise clients.,The founding team previously managed operational infrastructure within the target industry and secured early reference accounts.,Subscription contracts; onboarding fees; API access charges,Monthly subscription structure combined with one-time deployment charges.,Targeted account-based marketing; implementation partners; compliance webinars,1078069,8624552,70092,23 months,approved
CobaltFlow,CobaltFlow is preparing a commercial platform connected to fleet scheduling within the legaltech sector and is seeking funding to complete product development and marketing activities.,legaltech,pre-seed,6349532,SGD,"The current environment around fleet scheduling appears difficult for some operators, though quantitative benchmarks are limited.",warehouse operators,The company references a large international customer base without quantified segmentation,CobaltFlow plans to introduce a platform related to fleet scheduling with a combination of automation features and reporting tools for commercial users.,Deployment architecture supports intermittent connectivity environments common across secondary markets.,"Several competitors operate in adjacent categories, though management expects demand to expand over time.",Annual platform subscriptions; implementation services; support retainers,Tiered annual contracts priced according to active accounts and processing volume.,Pilot deployments with anchor customers; sector trade events; executive referrals,0,103664961,879493,4 months,rejected
NorthAnalytics,NorthAnalytics develops operational software for regional freight operators managing cross-border payment reconciliation. The company is raising capital to expand enterprise integrations and scale regional sales operations.,saas,pre-seed,5940411,EUR,"regional freight operators continue to manage cross-border payment reconciliation through spreadsheets and email coordination, increasing operating losses and compliance exposure.",regional freight operators,$37.1B estimated annual addressable spend across 17 national markets,"NorthAnalytics provides a cloud platform that centralizes cross-border payment reconciliation, connects external data feeds, and automates exception handling through configurable workflows.",Native integrations with regional financial and regulatory systems reduce migration friction for enterprise clients.,Existing distribution agreements with sector operators provide direct access to procurement teams across three countries.,Transaction commissions; enterprise licensing; compliance reporting services,Enterprise licensing agreements negotiated on multi-year procurement cycles.,Pilot deployments with anchor customers; sector trade events; executive referrals,2126901,10634505,77705,14 months,approved
VectorHealth,VectorHealth develops operational software for insurance brokers managing claims intake. The company is raising capital to expand enterprise integrations and scale regional sales operations.,proptech,seed,3737612,GBP,"Independent insurance brokers rely on fragmented claims intake workflows, resulting in delayed reporting cycles and unresolved transaction discrepancies.",insurance brokers,$35.4B estimated annual addressable spend across 7 national markets,"VectorHealth provides a cloud platform that centralizes claims intake, connects external data feeds, and automates exception handling through configurable workflows.",Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,Existing distribution agreements with sector operators provide direct access to procurement teams across three countries.,Subscription contracts; onboarding fees; API access charges,Usage-based pricing indexed to transaction activity and storage requirements.,Pilot deployments with anchor customers; sector trade events; executive referrals,741396,4448376,344682,29 months,approved
BlueWorks,BlueWorks develops operational software for retail distributors managing inventory forecasting. The company is raising capital to expand enterprise integrations and scale regional sales operations.,logistics,series-a,3164005,USD,"Independent retail distributors rely on fragmented inventory forecasting workflows, resulting in delayed reporting cycles and unresolved transaction discrepancies.",retail distributors,$63.4B estimated annual addressable spend across 6 national markets,"BlueWorks provides a cloud platform that centralizes inventory forecasting, connects external data feeds, and automates exception handling through configurable workflows.",The platform incorporates sector-specific compliance workflows rarely supported by horizontal software vendors.,Multi-year integration relationships with incumbent vendors create switching barriers for competing entrants.,Subscription contracts; onboarding fees; API access charges,Monthly subscription structure combined with one-time deployment charges.,Industry association partnerships; outbound enterprise sales; regional conferences,644320,4510240,271387,14 months,approved
HarborChain,HarborChain develops operational software for municipal clinics managing patient referral management. The company is raising capital to expand enterprise integrations and scale regional sales operations.,saas,idea,6778490,AED,"Companies handling patient referral management lack integrated visibility across suppliers, regulators, and internal systems, creating avoidable operational costs.",municipal clinics,$70.3B estimated annual addressable spend across 13 national markets,"HarborChain provides a cloud platform that centralizes patient referral management, connects external data feeds, and automates exception handling through configurable workflows.",Deployment architecture supports intermittent connectivity environments common across secondary markets.,Exclusive access to proprietary operational datasets improves forecasting accuracy during onboarding.,Subscription contracts; onboarding fees; API access charges,Enterprise licensing agreements negotiated on multi-year procurement cycles.,Pilot deployments with anchor customers; sector trade events; executive referrals,2354215,11771075,146652,18 months,approved
DeltaWorks,DeltaWorks develops operational software for solar installers managing maintenance dispatch. The company is raising capital to expand enterprise integrations and scale regional sales operations.,healthtech,seed,5110425,USD,"solar installers continue to manage maintenance dispatch through spreadsheets and email coordination, increasing operating losses and compliance exposure.",solar installers,$52.3B estimated annual addressable spend across 17 national markets,"DeltaWorks provides a cloud platform that centralizes maintenance dispatch, connects external data feeds, and automates exception handling through configurable workflows.",The platform incorporates sector-specific compliance workflows rarely supported by horizontal software vendors.,Existing distribution agreements with sector operators provide direct access to procurement teams across three countries.,Transaction commissions; enterprise licensing; compliance reporting services,Tiered annual contracts priced according to active accounts and processing volume.,Targeted account-based marketing; implementation partners; compliance webinars,1856872,7427488,58084,18 months,approved
GraniteGrid,GraniteGrid is preparing a commercial platform connected to maintenance dispatch within the logistics sector and is seeking funding to complete product development and marketing activities.,logistics,pre-seed,3711613,EUR,Businesses involved in maintenance dispatch often mention administrative inefficiencies but purchasing priorities remain inconsistent.,solar installers,Leadership expects long-term expansion as adoption of software tools increases,GraniteGrid plans to introduce a platform related to maintenance dispatch with a combination of automation features and reporting tools for commercial users.,Native integrations with regional financial and regulatory systems reduce migration friction for enterprise clients.,Management believes the market remains open to new entrants without significant barriers.,Usage-based billing; premium analytics modules; integration retainers,Monthly subscription structure combined with one-time deployment charges.,Direct procurement outreach; channel reseller agreements; referral incentives,0,33590658,655301,7 months,rejected
OakMetrics,OakMetrics is preparing a commercial platform connected to contract review within the proptech sector and is seeking funding to complete product development and marketing activities.,proptech,series-a,5530772,USD,"The current environment around contract review appears difficult for some operators, though quantitative benchmarks are limited.",mid-sized law firms,Internal assumptions suggest broad demand among digital businesses,OakMetrics plans to introduce a platform related to contract review with a combination of automation features and reporting tools for commercial users.,The platform incorporates sector-specific compliance workflows rarely supported by horizontal software vendors.,"Several competitors operate in adjacent categories, though management expects demand to expand over time.",Transaction commissions; enterprise licensing; compliance reporting services,Monthly subscription structure combined with one-time deployment charges.,Direct procurement outreach; channel reseller agreements; referral incentives,0,30872144,338146,2 months,rejected
IronSync,IronSync is preparing a commercial platform connected to credential verification within the legaltech sector and is seeking funding to complete product development and marketing activities.,legaltech,series-a,3685584,USD,Businesses involved in credential verification often mention administrative inefficiencies but purchasing priorities remain inconsistent.,vocational training providers,Leadership expects long-term expansion as adoption of software tools increases,IronSync plans to introduce a platform related to credential verification with a combination of automation features and reporting tools for commercial users.,Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,"Several competitors operate in adjacent categories, though management expects demand to expand over time.",Transaction commissions; enterprise licensing; compliance reporting services,Tiered annual contracts priced according to active accounts and processing volume.,Industry association partnerships; outbound enterprise sales; regional conferences,0,73954084,311685,3 months,rejected
NorthLogic,NorthLogic is preparing a commercial platform connected to crop procurement tracking within the legaltech sector and is seeking funding to complete product development and marketing activities.,legaltech,idea,1433980,AED,"grain cooperatives face ongoing coordination challenges related to crop procurement tracking, although the scale of the issue varies across regions.",grain cooperatives,Management estimates the market opportunity to be substantial across multiple regions,NorthLogic plans to introduce a platform related to crop procurement tracking with a combination of automation features and reporting tools for commercial users.,Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,The business intends to establish brand recognition following product launch activities.,Usage-based billing; premium analytics modules; integration retainers,Monthly subscription structure combined with one-time deployment charges.,Pilot deployments with anchor customers; sector trade events; executive referrals,0,52528772,371341,8 months,rejected
StoneLogic,StoneLogic develops operational software for warehouse operators managing fleet scheduling. The company is raising capital to expand enterprise integrations and scale regional sales operations.,cleantech,idea,4845659,SGD,"Companies handling fleet scheduling lack integrated visibility across suppliers, regulators, and internal systems, creating avoidable operational costs.",warehouse operators,$46.5B estimated annual addressable spend across 24 national markets,"StoneLogic provides a cloud platform that centralizes fleet scheduling, connects external data feeds, and automates exception handling through configurable workflows.",Native integrations with regional financial and regulatory systems reduce migration friction for enterprise clients.,Existing distribution agreements with sector operators provide direct access to procurement teams across three countries.,Subscription contracts; onboarding fees; API access charges,Monthly subscription structure combined with one-time deployment charges.,Industry association partnerships; outbound enterprise sales; regional conferences,2040039,8160156,239118,15 months,approved
NorthTransit,NorthTransit is preparing a commercial platform connected to inventory forecasting within the logistics sector and is seeking funding to complete product development and marketing activities.,logistics,pre-seed,523237,EUR,Businesses involved in inventory forecasting often mention administrative inefficiencies but purchasing priorities remain inconsistent.,retail distributors,Management estimates the market opportunity to be substantial across multiple regions,NorthTransit plans to introduce a platform related to inventory forecasting with a combination of automation features and reporting tools for commercial users.,Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,Management believes the market remains open to new entrants without significant barriers.,Annual platform subscriptions; implementation services; support retainers,Tiered annual contracts priced according to active accounts and processing volume.,Direct procurement outreach; channel reseller agreements; referral incentives,0,94162451,200680,5 months,rejected
PeakGrid,PeakGrid is preparing a commercial platform connected to patient referral management within the proptech sector and is seeking funding to complete product development and marketing activities.,proptech,pre-seed,3479189,GBP,"The current environment around patient referral management appears difficult for some operators, though quantitative benchmarks are limited.",municipal clinics,Management estimates the market opportunity to be substantial across multiple regions,PeakGrid plans to introduce a platform related to patient referral management with a combination of automation features and reporting tools for commercial users.,Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,Management believes the market remains open to new entrants without significant barriers.,Transaction commissions; enterprise licensing; compliance reporting services,Tiered annual contracts priced according to active accounts and processing volume.,Pilot deployments with anchor customers; sector trade events; executive referrals,0,93644556,464045,7 months,rejected
OakPilot,OakPilot develops operational software for warehouse operators managing fleet scheduling. The company is raising capital to expand enterprise integrations and scale regional sales operations.,ecommerce,pre-seed,1311207,USD,"warehouse operators continue to manage fleet scheduling through spreadsheets and email coordination, increasing operating losses and compliance exposure.",warehouse operators,$53.6B estimated annual addressable spend across 23 national markets,"OakPilot provides a cloud platform that centralizes fleet scheduling, connects external data feeds, and automates exception handling through configurable workflows.",Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,Multi-year integration relationships with incumbent vendors create switching barriers for competing entrants.,Transaction commissions; enterprise licensing; compliance reporting services,Enterprise licensing agreements negotiated on multi-year procurement cycles.,Targeted account-based marketing; implementation partners; compliance webinars,2040844,16326752,147931,26 months,approved
SignalChain,SignalChain is preparing a commercial platform connected to cross-border payment reconciliation within the ecommerce sector and is seeking funding to complete product development and marketing activities.,ecommerce,idea,828237,SGD,Businesses involved in cross-border payment reconciliation often mention administrative inefficiencies but purchasing priorities remain inconsistent.,regional freight operators,The company references a large international customer base without quantified segmentation,SignalChain plans to introduce a platform related to cross-border payment reconciliation with a combination of automation features and reporting tools for commercial users.,The platform incorporates sector-specific compliance workflows rarely supported by horizontal software vendors.,Management believes the market remains open to new entrants without significant barriers.,Annual platform subscriptions; implementation services; support retainers,Usage-based pricing indexed to transaction activity and storage requirements.,Pilot deployments with anchor customers; sector trade events; executive referrals,0,59730727,276148,5 months,rejected
PeakTransit,PeakTransit is preparing a commercial platform connected to maintenance dispatch within the ecommerce sector and is seeking funding to complete product development and marketing activities.,ecommerce,seed,1318634,GBP,"The current environment around maintenance dispatch appears difficult for some operators, though quantitative benchmarks are limited.",solar installers,Internal assumptions suggest broad demand among digital businesses,PeakTransit plans to introduce a platform related to maintenance dispatch with a combination of automation features and reporting tools for commercial users.,Native integrations with regional financial and regulatory systems reduce migration friction for enterprise clients.,Management believes the market remains open to new entrants without significant barriers.,Annual platform subscriptions; implementation services; support retainers,Monthly subscription structure combined with one-time deployment charges.,Industry association partnerships; outbound enterprise sales; regional conferences,0,22106630,594501,2 months,rejected
CinderWorks,CinderWorks develops operational software for insurance brokers managing claims intake. The company is raising capital to expand enterprise integrations and scale regional sales operations.,healthtech,pre-seed,479778,USD,"Companies handling claims intake lack integrated visibility across suppliers, regulators, and internal systems, creating avoidable operational costs.",insurance brokers,$22.1B estimated annual addressable spend across 17 national markets,"CinderWorks provides a cloud platform that centralizes claims intake, connects external data feeds, and automates exception handling through configurable workflows.",Deployment architecture supports intermittent connectivity environments common across secondary markets.,Existing distribution agreements with sector operators provide direct access to procurement teams across three countries.,Transaction commissions; enterprise licensing; compliance reporting services,Usage-based pricing indexed to transaction activity and storage requirements.,Direct procurement outreach; channel reseller agreements; referral incentives,1931872,7727488,129778,17 months,approved
SignalLedger,SignalLedger is preparing a commercial platform connected to fleet scheduling within the fintech sector and is seeking funding to complete product development and marketing activities.,fintech,seed,3447905,EUR,"The current environment around fleet scheduling appears difficult for some operators, though quantitative benchmarks are limited.",warehouse operators,Leadership expects long-term expansion as adoption of software tools increases,SignalLedger plans to introduce a platform related to fleet scheduling with a combination of automation features and reporting tools for commercial users.,The platform incorporates sector-specific compliance workflows rarely supported by horizontal software vendors.,"Several competitors operate in adjacent categories, though management expects demand to expand over time.",Transaction commissions; enterprise licensing; compliance reporting services,Tiered annual contracts priced according to active accounts and processing volume.,Targeted account-based marketing; implementation partners; compliance webinars,0,103794850,311635,4 months,rejected
AtlasBase,AtlasBase is preparing a commercial platform connected to tenant documentation within the cleantech sector and is seeking funding to complete product development and marketing activities.,cleantech,pre-seed,3271356,GBP,"property managers face ongoing coordination challenges related to tenant documentation, although the scale of the issue varies across regions.",property managers,The company references a large international customer base without quantified segmentation,AtlasBase plans to introduce a platform related to tenant documentation with a combination of automation features and reporting tools for commercial users.,Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,The business intends to establish brand recognition following product launch activities.,Transaction commissions; enterprise licensing; compliance reporting services,Tiered annual contracts priced according to active accounts and processing volume.,Industry association partnerships; outbound enterprise sales; regional conferences,8947,11720345,282242,6 months,rejected
CobaltChain,CobaltChain is preparing a commercial platform connected to maintenance dispatch within the legaltech sector and is seeking funding to complete product development and marketing activities.,legaltech,idea,6943872,AED,Businesses involved in maintenance dispatch often mention administrative inefficiencies but purchasing priorities remain inconsistent.,solar installers,The company references a large international customer base without quantified segmentation,CobaltChain plans to introduce a platform related to maintenance dispatch with a combination of automation features and reporting tools for commercial users.,Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,Management believes the market remains open to new entrants without significant barriers.,Annual platform subscriptions; implementation services; support retainers,Monthly subscription structure combined with one-time deployment charges.,Industry association partnerships; outbound enterprise sales; regional conferences,0,50976369,859072,7 months,rejected
VectorMarkets,VectorMarkets is preparing a commercial platform connected to patient referral management within the logistics sector and is seeking funding to complete product development and marketing activities.,logistics,series-a,3681732,GBP,Businesses involved in patient referral management often mention administrative inefficiencies but purchasing priorities remain inconsistent.,municipal clinics,Leadership expects long-term expansion as adoption of software tools increases,VectorMarkets plans to introduce a platform related to patient referral management with a combination of automation features and reporting tools for commercial users.,The platform incorporates sector-specific compliance workflows rarely supported by horizontal software vendors.,"Several competitors operate in adjacent categories, though management expects demand to expand over time.",Usage-based billing; premium analytics modules; integration retainers,Tiered annual contracts priced according to active accounts and processing volume.,Industry association partnerships; outbound enterprise sales; regional conferences,0,51635538,794389,6 months,rejected
GraniteDynamics,GraniteDynamics develops operational software for warehouse operators managing fleet scheduling. The company is raising capital to expand enterprise integrations and scale regional sales operations.,logistics,seed,836647,AED,"Companies handling fleet scheduling lack integrated visibility across suppliers, regulators, and internal systems, creating avoidable operational costs.",warehouse operators,$54.5B estimated annual addressable spend across 3 national markets,"GraniteDynamics provides a cloud platform that centralizes fleet scheduling, connects external data feeds, and automates exception handling through configurable workflows.",Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,The founding team previously managed operational infrastructure within the target industry and secured early reference accounts.,Transaction commissions; enterprise licensing; compliance reporting services,Enterprise licensing agreements negotiated on multi-year procurement cycles.,Targeted account-based marketing; implementation partners; compliance webinars,2152180,10760900,73126,30 months,approved
NorthHealth,NorthHealth is preparing a commercial platform connected to tenant documentation within the edtech sector and is seeking funding to complete product development and marketing activities.,edtech,idea,4919874,AED,"The current environment around tenant documentation appears difficult for some operators, though quantitative benchmarks are limited.",property managers,Internal assumptions suggest broad demand among digital businesses,NorthHealth plans to introduce a platform related to tenant documentation with a combination of automation features and reporting tools for commercial users.,Native integrations with regional financial and regulatory systems reduce migration friction for enterprise clients.,The business intends to establish brand recognition following product launch activities.,Transaction commissions; enterprise licensing; compliance reporting services,Tiered annual contracts priced according to active accounts and processing volume.,Pilot deployments with anchor customers; sector trade events; executive referrals,0,105162560,457242,4 months,rejected
OakLedger,OakLedger is preparing a commercial platform connected to credential verification within the proptech sector and is seeking funding to complete product development and marketing activities.,proptech,series-a,2362101,GBP,"The current environment around credential verification appears difficult for some operators, though quantitative benchmarks are limited.",vocational training providers,Internal assumptions suggest broad demand among digital businesses,OakLedger plans to introduce a platform related to credential verification with a combination of automation features and reporting tools for commercial users.,Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,Management believes the market remains open to new entrants without significant barriers.,Usage-based billing; premium analytics modules; integration retainers,Monthly subscription structure combined with one-time deployment charges.,Direct procurement outreach; channel reseller agreements; referral incentives,0,106703722,753936,7 months,rejected
RiverMarkets,RiverMarkets is preparing a commercial platform connected to contract review within the legaltech sector and is seeking funding to complete product development and marketing activities.,legaltech,pre-seed,806157,EUR,"mid-sized law firms face ongoing coordination challenges related to contract review, although the scale of the issue varies across regions.",mid-sized law firms,The company references a large international customer base without quantified segmentation,RiverMarkets plans to introduce a platform related to contract review with a combination of automation features and reporting tools for commercial users.,Native integrations with regional financial and regulatory systems reduce migration friction for enterprise clients.,"Several competitors operate in adjacent categories, though management expects demand to expand over time.",Transaction commissions; enterprise licensing; compliance reporting services,Usage-based pricing indexed to transaction activity and storage requirements.,Industry association partnerships; outbound enterprise sales; regional conferences,11604,10658019,853876,3 months,rejected
OakLogic,OakLogic develops operational software for vocational training providers managing credential verification. The company is raising capital to expand enterprise integrations and scale regional sales operations.,ecommerce,seed,6850353,USD,"vocational training providers continue to manage credential verification through spreadsheets and email coordination, increasing operating losses and compliance exposure.",vocational training providers,$3.1B estimated annual addressable spend across 11 national markets,"OakLogic provides a cloud platform that centralizes credential verification, connects external data feeds, and automates exception handling through configurable workflows.",Deployment architecture supports intermittent connectivity environments common across secondary markets.,Existing distribution agreements with sector operators provide direct access to procurement teams across three countries.,Subscription contracts; onboarding fees; API access charges,Enterprise licensing agreements negotiated on multi-year procurement cycles.,Pilot deployments with anchor customers; sector trade events; executive referrals,1903155,5709465,149995,25 months,approved
NorthMetrics,NorthMetrics is preparing a commercial platform connected to crop procurement tracking within the legaltech sector and is seeking funding to complete product development and marketing activities.,legaltech,idea,7825498,USD,"grain cooperatives face ongoing coordination challenges related to crop procurement tracking, although the scale of the issue varies across regions.",grain cooperatives,Leadership expects long-term expansion as adoption of software tools increases,NorthMetrics plans to introduce a platform related to crop procurement tracking with a combination of automation features and reporting tools for commercial users.,Deployment architecture supports intermittent connectivity environments common across secondary markets.,Management believes the market remains open to new entrants without significant barriers.,Transaction commissions; enterprise licensing; compliance reporting services,Enterprise licensing agreements negotiated on multi-year procurement cycles.,Pilot deployments with anchor customers; sector trade events; executive referrals,0,109964200,689881,8 months,rejected
SignalCapital,SignalCapital is preparing a commercial platform connected to fleet scheduling within the ecommerce sector and is seeking funding to complete product development and marketing activities.,ecommerce,idea,1905069,USD,"warehouse operators face ongoing coordination challenges related to fleet scheduling, although the scale of the issue varies across regions.",warehouse operators,Leadership expects long-term expansion as adoption of software tools increases,SignalCapital plans to introduce a platform related to fleet scheduling with a combination of automation features and reporting tools for commercial users.,Deployment architecture supports intermittent connectivity environments common across secondary markets.,The company expects product flexibility to support future differentiation as the market evolves.,Subscription contracts; onboarding fees; API access charges,Usage-based pricing indexed to transaction activity and storage requirements.,Pilot deployments with anchor customers; sector trade events; executive referrals,3702,37406009,649927,5 months,rejected
PeakLogic,PeakLogic is preparing a commercial platform connected to credential verification within the logistics sector and is seeking funding to complete product development and marketing activities.,logistics,idea,4222420,AED,"The current environment around credential verification appears difficult for some operators, though quantitative benchmarks are limited.",vocational training providers,Leadership expects long-term expansion as adoption of software tools increases,PeakLogic plans to introduce a platform related to credential verification with a combination of automation features and reporting tools for commercial users.,Native integrations with regional financial and regulatory systems reduce migration friction for enterprise clients.,Management believes the market remains open to new entrants without significant barriers.,Usage-based billing; premium analytics modules; integration retainers,Tiered annual contracts priced according to active accounts and processing volume.,Pilot deployments with anchor customers; sector trade events; executive referrals,11600,72936528,499306,6 months,rejected
LatticeSystems,LatticeSystems is preparing a commercial platform connected to cross-border payment reconciliation within the edtech sector and is seeking funding to complete product development and marketing activities.,edtech,pre-seed,4169240,EUR,"regional freight operators face ongoing coordination challenges related to cross-border payment reconciliation, although the scale of the issue varies across regions.",regional freight operators,Leadership expects long-term expansion as adoption of software tools increases,LatticeSystems plans to introduce a platform related to cross-border payment reconciliation with a combination of automation features and reporting tools for commercial users.,The platform incorporates sector-specific compliance workflows rarely supported by horizontal software vendors.,The business intends to establish brand recognition following product launch activities.,Transaction commissions; enterprise licensing; compliance reporting services,Tiered annual contracts priced according to active accounts and processing volume.,Direct procurement outreach; channel reseller agreements; referral incentives,0,54689178,754678,3 months,rejected
SignalMetrics,SignalMetrics is preparing a commercial platform connected to inventory forecasting within the logistics sector and is seeking funding to complete product development and marketing activities.,logistics,pre-seed,1324015,EUR,"retail distributors face ongoing coordination challenges related to inventory forecasting, although the scale of the issue varies across regions.",retail distributors,Leadership expects long-term expansion as adoption of software tools increases,SignalMetrics plans to introduce a platform related to inventory forecasting with a combination of automation features and reporting tools for commercial users.,Native integrations with regional financial and regulatory systems reduce migration friction for enterprise clients.,The business intends to establish brand recognition following product launch activities.,Subscription contracts; onboarding fees; API access charges,Tiered annual contracts priced according to active accounts and processing volume.,Direct procurement outreach; channel reseller agreements; referral incentives,0,39388317,421257,7 months,rejected
LatticeWorks,LatticeWorks develops operational software for grain cooperatives managing crop procurement tracking. The company is raising capital to expand enterprise integrations and scale regional sales operations.,agritech,pre-seed,2453828,EUR,"Companies handling crop procurement tracking lack integrated visibility across suppliers, regulators, and internal systems, creating avoidable operational costs.",grain cooperatives,$42.7B estimated annual addressable spend across 14 national markets,"LatticeWorks provides a cloud platform that centralizes crop procurement tracking, connects external data feeds, and automates exception handling through configurable workflows.",Native integrations with regional financial and regulatory systems reduce migration friction for enterprise clients.,Exclusive access to proprietary operational datasets improves forecasting accuracy during onboarding.,Usage-based billing; premium analytics modules; integration retainers,Enterprise licensing agreements negotiated on multi-year procurement cycles.,Industry association partnerships; outbound enterprise sales; regional conferences,2284620,18276960,47326,18 months,approved
BlueCloud,BlueCloud develops operational software for solar installers managing maintenance dispatch. The company is raising capital to expand enterprise integrations and scale regional sales operations.,fintech,series-a,7044859,GBP,"Companies handling maintenance dispatch lack integrated visibility across suppliers, regulators, and internal systems, creating avoidable operational costs.",solar installers,$35.6B estimated annual addressable spend across 8 national markets,"BlueCloud provides a cloud platform that centralizes maintenance dispatch, connects external data feeds, and automates exception handling through configurable workflows.",Historical benchmarking data collected from pilot customers enables risk scoring unavailable through standard ERP systems.,Multi-year integration relationships with incumbent vendors create switching barriers for competing entrants.,Usage-based billing; premium analytics modules; integration retainers,Usage-based pricing indexed to transaction activity and storage requirements.,Pilot deployments with anchor customers; sector trade events; executive referrals,2019649,16157192,111187,15 months,approved
PeakCloud,PeakCloud is preparing a commercial platform connected to contract review within the edtech sector and is seeking funding to complete product development and marketing activities.,edtech,seed,967159,USD,"The current environment around contract review appears difficult for some operators, though quantitative benchmarks are limited.",mid-sized law firms,Internal assumptions suggest broad demand among digital businesses,PeakCloud plans to introduce a platform related to contract review with a combination of automation features and reporting tools for commercial users.,The platform incorporates sector-specific compliance workflows rarely supported by horizontal software vendors.,The business intends to establish brand recognition following product launch activities.,Annual platform subscriptions; implementation services; support retainers,Tiered annual contracts priced according to active accounts and processing volume.,Industry association partnerships; outbound enterprise sales; regional conferences,0,58985487,741592,8 months,rejected
